     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.35000,0.00000,0.10000,0.40000,0.15000,0.0492750
0.45000,0.40000,0.10000,0.05000,0.00000,0.0405027
0.35000,0.35000,0.00000,0.15000,0.15000,0.0217320
0.50000,0.20000,0.05000,0.05000,0.20000,0.0348864
0.45000,0.15000,0.35000,0.00000,0.05000,0.1007668
0.30000,0.40000,0.05000,0.05000,0.20000,0.0214425
0.30000,0.25000,0.15000,0.30000,0.00000,0.0681845
0.35000,0.20000,0.15000,0.05000,0.25000,0.0537183
0.40000,0.05000,0.25000,0.00000,0.30000,0.0774029
0.40000,0.00000,0.10000,0.25000,0.25000,0.0459816
0.40000,0.15000,0.05000,0.35000,0.05000,0.0428114
0.45000,0.05000,0.30000,0.00000,0.20000,0.0875019
0.60000,0.00000,0.25000,0.05000,0.10000,0.0626693
0.75000,0.00000,0.00000,0.00000,0.25000,0.0572149
0.55000,0.00000,0.20000,0.00000,0.25000,0.0662258
0.60000,0.25000,0.00000,0.10000,0.05000,0.0222920
0.35000,0.10000,0.30000,0.15000,0.10000,0.0925078
0.55000,0.15000,0.05000,0.10000,0.15000,0.0346930
0.65000,0.15000,0.05000,0.15000,0.00000,0.0317947
0.45000,0.00000,0.05000,0.30000,0.20000,0.0337221
0.35000,0.05000,0.15000,0.20000,0.25000,0.0560181
0.90000,0.00000,0.00000,0.00000,0.10000,0.0630903
0.40000,0.25000,0.20000,0.05000,0.10000,0.0679429
0.50000,0.05000,0.15000,0.25000,0.05000,0.0565953
0.35000,0.00000,0.10000,0.35000,0.20000,0.0519137
0.45000,0.40000,0.10000,0.00000,0.05000,0.0361683
0.35000,0.35000,0.00000,0.10000,0.20000,0.0141642
0.45000,0.15000,0.30000,0.10000,0.00000,0.0889425
0.30000,0.40000,0.05000,0.00000,0.25000,0.0140972
0.50000,0.20000,0.05000,0.00000,0.25000,0.0320348
0.30000,0.25000,0.15000,0.25000,0.05000,0.0667036
0.35000,0.20000,0.15000,0.00000,0.30000,0.0481706
0.40000,0.05000,0.20000,0.35000,0.00000,0.0709223
0.40000,0.00000,0.10000,0.20000,0.30000,0.0435741
0.40000,0.15000,0.05000,0.30000,0.10000,0.0400644
0.45000,0.05000,0.25000,0.25000,0.00000,0.0806493
0.70000,0.30000,0.00000,0.00000,0.00000,0.0257098
0.60000,0.00000,0.25000,0.00000,0.15000,0.0631910
0.55000,0.00000,0.15000,0.30000,0.00000,0.0520185
0.60000,0.25000,0.00000,0.05000,0.10000,0.0220156
0.35000,0.10000,0.30000,0.10000,0.15000,0.0945481
0.55000,0.15000,0.05000,0.05000,0.20000,0.0336147
0.65000,0.15000,0.05000,0.10000,0.05000,0.0381751
0.45000,0.00000,0.05000,0.25000,0.25000,0.0318209
0.85000,0.15000,0.00000,0.00000,0.00000,0.0425600
0.35000,0.05000,0.15000,0.15000,0.30000,0.0552898
0.40000,0.25000,0.20000,0.00000,0.15000,0.0659194
0.50000,0.05000,0.15000,0.20000,0.10000,0.0547353
0.35000,0.00000,0.10000,0.30000,0.25000,0.0451941
0.35000,0.35000,0.00000,0.05000,0.25000,0.0087334
0.45000,0.40000,0.05000,0.10000,0.00000,0.0296393
0.45000,0.15000,0.30000,0.05000,0.05000,0.0917121
0.50000,0.20000,0.00000,0.30000,0.00000,0.0251334
0.30000,0.40000,0.00000,0.30000,0.00000,0.0416421
0.30000,0.25000,0.15000,0.20000,0.10000,0.0655979
0.35000,0.20000,0.10000,0.35000,0.00000,0.0585360
0.40000,0.05000,0.20000,0.30000,0.05000,0.0718617
0.40000,0.00000,0.10000,0.15000,0.35000,0.0420993
0.40000,0.15000,0.05000,0.25000,0.15000,0.0368743
0.45000,0.05000,0.25000,0.20000,0.05000,0.0775841
0.70000,0.25000,0.05000,0.00000,0.00000,0.0371423
0.60000,0.00000,0.20000,0.20000,0.00000,0.0564408
0.55000,0.00000,0.15000,0.25000,0.05000,0.0525547
0.60000,0.25000,0.00000,0.00000,0.15000,0.0225186
0.35000,0.10000,0.30000,0.05000,0.20000,0.0934990
0.55000,0.15000,0.05000,0.00000,0.25000,0.0365054
0.65000,0.15000,0.05000,0.05000,0.10000,0.0397473
0.85000,0.10000,0.05000,0.00000,0.00000,0.0435891
0.45000,0.00000,0.05000,0.20000,0.30000,0.0318883
0.35000,0.05000,0.15000,0.10000,0.35000,0.0509142
0.40000,0.25000,0.15000,0.20000,0.00000,0.0593322
0.35000,0.35000,0.00000,0.00000,0.30000,0.0040135
0.50000,0.05000,0.15000,0.15000,0.15000,0.0552872
0.35000,0.00000,0.10000,0.25000,0.30000,0.0452573
0.45000,0.40000,0.05000,0.05000,0.05000,0.0276658
0.50000,0.20000,0.00000,0.25000,0.05000,0.0244501
0.45000,0.15000,0.30000,0.00000,0.10000,0.0891713
0.30000,0.40000,0.00000,0.25000,0.05000,0.0333566
0.30000,0.25000,0.15000,0.15000,0.15000,0.0583396
0.35000,0.20000,0.10000,0.30000,0.05000,0.0538005
0.40000,0.05000,0.20000,0.25000,0.10000,0.0713767
0.40000,0.00000,0.10000,0.10000,0.40000,0.0389696
0.40000,0.15000,0.05000,0.20000,0.20000,0.0340179
0.45000,0.05000,0.25000,0.15000,0.10000,0.0780591
0.70000,0.25000,0.00000,0.05000,0.00000,0.0263704
0.60000,0.00000,0.20000,0.15000,0.05000,0.0565360
0.55000,0.00000,0.15000,0.20000,0.10000,0.0521062
0.60000,0.20000,0.20000,0.00000,0.00000,0.0692353
0.55000,0.15000,0.00000,0.30000,0.00000,0.0223519
0.35000,0.10000,0.30000,0.00000,0.25000,0.0903638
0.65000,0.15000,0.05000,0.00000,0.15000,0.0411170
0.85000,0.10000,0.00000,0.05000,0.00000,0.0383442
0.45000,0.00000,0.05000,0.15000,0.35000,0.0303396
0.35000,0.05000,0.15000,0.05000,0.40000,0.0471076
0.40000,0.25000,0.15000,0.15000,0.05000,0.0580673
0.35000,0.30000,0.35000,0.00000,0.00000,0.1011707
0.50000,0.05000,0.15000,0.10000,0.20000,0.0537755
0.35000,0.00000,0.10000,0.20000,0.35000,0.0401022
0.45000,0.15000,0.25000,0.15000,0.00000,0.0801697
0.45000,0.40000,0.05000,0.00000,0.10000,0.0214161
0.50000,0.20000,0.00000,0.20000,0.10000,0.0206962
0.30000,0.40000,0.00000,0.20000,0.10000,0.0270062
0.30000,0.25000,0.15000,0.10000,0.20000,0.0550794
0.35000,0.20000,0.10000,0.25000,0.10000,0.0513621
0.40000,0.05000,0.20000,0.20000,0.15000,0.0696994
0.40000,0.00000,0.10000,0.05000,0.45000,0.0365471
0.40000,0.15000,0.05000,0.15000,0.25000,0.0291092
0.45000,0.05000,0.25000,0.10000,0.15000,0.0755198
0.70000,0.25000,0.00000,0.00000,0.05000,0.0286427
0.60000,0.00000,0.20000,0.10000,0.10000,0.0603357
0.55000,0.00000,0.15000,0.15000,0.15000,0.0541322
0.60000,0.20000,0.15000,0.05000,0.00000,0.0542540
0.55000,0.15000,0.00000,0.25000,0.05000,0.0224389
0.35000,0.10000,0.25000,0.30000,0.00000,0.0841558
0.65000,0.15000,0.00000,0.20000,0.00000,0.0213923
0.85000,0.10000,0.00000,0.00000,0.05000,0.0482048
0.35000,0.05000,0.15000,0.00000,0.45000,0.0451992
0.45000,0.00000,0.05000,0.10000,0.40000,0.0305795
0.40000,0.25000,0.15000,0.10000,0.10000,0.0567638
0.35000,0.30000,0.30000,0.05000,0.00000,0.0889258
0.35000,0.00000,0.10000,0.15000,0.40000,0.0390885
0.50000,0.05000,0.15000,0.05000,0.25000,0.0586275
